Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
Scarf1,NM_001004157,1,1,1,0,1,0.5,-2,1
Gm5142,NM_001004158,0,0,0,0,0,0,0,1
Clec4b2,NM_001004159,0,0,0,0,0,0,0,1
Gnptab,NM_001004164,2482,1742,838,835,2112,836.5,-2.524805738,1.18E-08
Sgpp2,NM_001004173,17,15,1,7,16,4,-4,0.060503425
AA467197,NM_001004174,1,1,109,139,1,124,124,5.97E-72
Maml3,NM_001004176,317,243,77,76,280,76.5,-3.660130719,1.41E-12
Celsr2,NM_001004177,0,0,0,0,0,0,0,1
AA415398,NM_001004178,17,7,6,4,12,5,-2.4,0.936441676
BC057022,NM_001004180,6,4,0,0,5,0,0,0.023338864
Gm5567,NM_001004182,0,0,0,0,0,0,0,1
Slc28a1,NM_001004184,0,0,0,0,0,0,0,1
Whamm,NM_001004185,157,100,389,383,128.5,386,3.003891051,9.34E-63
2610020H08Rik,NM_001004187,34,7,14,10,20.5,12,-1.708333333,1
Zfp560,NM_001004190,113,84,51,71,98.5,61,-1.614754098,1
Gm5617,NM_001004191,46,36,27,16,41,21.5,-1.906976744,0.94949084
BC048562,NM_001004192,0,1,0,0,0.5,0,0,1
Rhox8,NM_001004193,1,1,2,1,1,1.5,1.5,0.756647998
Nlrp4e,NM_001004194,0,0,0,0,0,0,0,1
Amigo1,NM_001004293,333,228,21,35,280.5,28,-10.01785714,1.33E-39
Cntnap2,NM_001004357,0,0,0,0,0,0,0,1
Gprasp1,NM_001004359,323,210,247,170,266.5,208.5,-1.278177458,0.015862473
5730494M16Rik,NM_001004361,273,209,52,38,241,45,-5.355555556,1.39E-20
2610008E11Rik,NM_001004362,123,79,24,32,101,28,-3.607142857,5.21E-06
Nuak1,NM_001004363,340,194,7,10,267,8.5,-31.41176471,2.18E-61
Asap2,NM_001004364,214,178,102,80,196,91,-2.153846154,0.037140768
Actr3b,NM_001004365,1,1,0,1,1,0.5,-2,1
Scube3,NM_001004366,0,0,0,0,0,0,0,1
Cxxc4,NM_001004367,0,0,0,0,0,0,0,1
Pik3r6,NM_001004435,348,248,336,290,298,313,1.05033557,1.44E-09
Wapal,NM_001004436,3930,2644,2875,2930,3287,2902.5,-1.132472007,5.78E-08
Cys1,NM_001004455,0,0,0,0,0,0,0,1
Tacc2,NM_001004468,573,407,133,120,490,126.5,-3.873517787,1.23E-18
Pigu,NM_001004721,414,291,141,165,352.5,153,-2.303921569,0.001543636
Gpr158,NM_001004761,0,0,0,0,0,0,0,1
Pla2g4c,NM_001004762,6,2,7,9,4,8,2,0.021289862
Znhit3,NM_001005223,89,66,62,58,77.5,60,-1.291666667,0.226666438
Olfr1197,NM_001005225,0,0,0,0,0,0,0,1
Olfr1200,NM_001005227,0,0,0,0,0,0,0,1
Olfr1024,NM_001005230,0,0,0,0,0,0,0,1
Dbx1,NM_001005232,0,0,0,0,0,0,0,1
Hps5,NM_001005247,562,389,303,301,475.5,302,-1.574503311,1
Hps5,NM_001005248,556,385,300,299,470.5,299.5,-1.570951586,1
Eif4g1,NM_001005331,11918,7791,6392,5686,9854.5,6039,-1.631809902,1
Ypel2,NM_001005341,204,142,35,46,173,40.5,-4.271604938,8.74E-12
Ypel4,NM_001005342,1,9,4,1,5,2.5,-2,1
Sp9,NM_001005343,0,0,0,0,0,0,0,1
Zfp960,NM_001005358,32,25,14,18,28.5,16,-1.78125,1
Spin2,NM_001005370,0,0,0,0,0,0,0,1
Gm13084,NM_001005371,0,0,0,0,0,0,0,1
Gprasp1,NM_001005385,321,210,245,167,265.5,206,-1.288834951,0.021275854
Ado,NM_001005419,1038,769,400,472,903.5,436,-2.072247706,0.009037147
Gm347,NM_001005420,328,244,62,74,286,68,-4.205882353,3.96E-16
Amica1,NM_001005421,149,81,17,13,115,15,-7.666666667,3.27E-16
Gm1574,NM_001005422,0,0,0,0,0,0,0,1
Mreg,NM_001005423,290,190,469,433,240,451,1.879166667,1.03E-38
Gm996,NM_001005424,96,69,2,4,82.5,3,-27.5,2.19E-22
Zfp663,NM_001005425,0,0,0,0,0,0,0,1
Zcwpw1,NM_001005426,96,60,112,120,78,116,1.487179487,1.12E-12
Iqsec2,NM_001005475,236,150,299,251,193,275,1.424870466,1.82E-19
Barhl2,NM_001005477,0,0,0,0,0,0,0,1
Olfr132,NM_001005481,0,0,0,1,0,0.5,0,1
Olfr111,NM_001005485,64,48,22,24,56,23,-2.434782609,0.098431929
Olfr467,NM_001005488,0,0,0,0,0,0,0,1
Txlna,NM_001005506,1789,1226,718,642,1507.5,680,-2.216911765,0.000208238
Smg7,NM_001005507,2224,1438,2920,2725,1831,2822.5,1.541507373,7.63E-42
Arhgap30,NM_001005508,4679,3190,4226,4225,3934.5,4225.5,1.073961113,3.92E-17
Eif2a,NM_001005509,1576,1050,918,986,1313,952,-1.379201681,0.025415016
Syne2,NM_001005510,3,0,60,88,1.5,74,49.33333333,1.80E-45
Lmtk3,NM_001005511,20,8,3,1,14,2,-7,0.012743548
Olfr231,NM_001005520,0,0,0,0,0,0,0,1
Rsrc2,NM_001005523,402,340,400,354,371,377,1.016172507,6.85E-09
Olfr194,NM_001005524,0,0,0,0,0,0,0,1
Rsrc2,NM_001005525,1084,786,946,930,935,938,1.003208556,2.26E-11
Olfr1281,NM_001005568,0,0,0,0,0,0,0,1
Olfr366,NM_001005569,0,0,0,0,0,0,0,1
Olfr707,NM_001005570,0,0,0,0,0,0,0,1
Aebp2,NM_001005605,2173,1439,1277,1262,1806,1269.5,-1.422607326,0.067345933
Itgb4,NM_001005608,31,21,16,16,26,16,-1.625,1
Phactr1,NM_001005740,0,0,0,0,0,0,0,1
Phactr1,NM_001005748,0,0,0,0,0,0,0,1
Parl,NM_001005767,849,579,474,477,714,475.5,-1.501577287,0.440341391
Inadl,NM_001005784,0,0,0,0,0,0,0,1
Inadl,NM_001005787,0,0,0,0,0,0,0,1
Zfp69,NM_001005788,84,56,25,22,70,23.5,-2.978723404,0.003851541
Mcoln2,NM_001005846,1237,875,2249,2363,1056,2306,2.183712121,4.99E-73
Aga,NM_001005847,233,173,96,100,203,98,-2.071428571,0.100034931
Gm609,NM_001005854,0,0,0,0,0,0,0,1
I830012O16Rik,NM_001005858,6,5,152,218,5.5,185,33.63636364,7.05E-102
Rpl34,NM_001005859,187,103,56,87,145,71.5,-2.027972028,0.307259596
Clec4a4,NM_001005860,0,0,1,0,0,0.5,0,1
Mtus1,NM_001005863,189,118,46,42,153.5,44,-3.488636364,1.57E-07
Mtus1,NM_001005864,189,118,34,30,153.5,32,-4.796875,1.38E-12
Mtus1,NM_001005865,194,121,34,30,157.5,32,-4.921875,2.14E-13
Kdm2b,NM_001005866,1274,838,163,153,1056,158,-6.683544304,2.43E-57
Zmiz2,NM_001005867,843,642,325,314,742.5,319.5,-2.323943662,6.23E-05
Erbb2ip,NM_001005868,4795,2903,5289,6051,3849,5670,1.473109899,2.05E-40
Zbtb9,NM_001005916,549,402,309,334,475.5,321.5,-1.479004666,0.413006723
